text,true_label,predicted_label,confidence
If its friends you are looking for you found one.,E,E,0.62
"I was a flower, new to this life.",E,I,0.65
Vulnerable to the weeds that grew around me.,E,I,0.58
I was wondering why all the other types are here telling us about us are we that well liked?,E,I,0.66
"10.when it hurts your feelings that someone elses ,anyone elses.",E,I,0.57
thank you all for the warm welcomes.,E,E,0.65
i am new to these forums yet i don't have much to say currently except hi all.,E,I,0.72
"I remember before smoking, I actually had different moods and shades of colors and vivid detail to describe those shifting moods.",E,I,0.65
"I've experimented for a while and have had transcendental like experiences which didn't really end up altering my perspective for the long-term but with short term, definitely.",E,I,0.62
anyways... i don't like doing this.,E,I,0.62
i have the power of persuasion.,E,E,0.65
To be honest I believe sometimes Im more aware of what people are feeling around me than of myself.,E,E,0.65
I believe these behavioral changes occur due to my surroundings and the people around me.,E,E,0.58
Nice to see another noobie like myself join the site who is also interested in the same things.,E,E,0.72
Im new to the site and curious as to what ideas are floating around and curious about the people imagining them.,E,E,0.65
"I work better in groups when I am able to bounce my ideas around, get feedback, and socialize.",E,E,0.85
We are in a very happy and healthy relationship.,E,E,0.55
"If possible, could someone help me figure it out?",E,E,0.62
I'm a teacher in New England (to give context since education varies all over the place).,E,E,0.56
"We get along so well, but we do have our differences.",E,E,0.68
I think a lot of people avoid using their abilities for positive change.,E,I,0.58
I also think a lot of people are denying their abilities or choosing not use them.,E,I,0.62
"I find it hard to believe humanity is so lacking in vision, that we're stuck with this for the human condition.",E,I,0.63
I understand that making and enjoying escapism is far easier and more profitable than saving the world.,E,I,0.58
"The good thing is, it gets my courage up enough to head out into the real world and have my world challenged.",E,E,0.72
come from the heart and not from the brain.,E,I,0.58
what would make the UN stronger?,E,E,0.7
Will you please change my name from starfairy to MsBrightside .,E,I,0.62
I just came across this today and thought i'd share it.,E,E,0.65
your personality can change over time.,E,I,0.56
"Thanks so much for the help, I appreciate it!",E,E,0.57
May I ask what your reasoning is behind this?,E,I,0.63
Respecting her culture and desires is part of being in a relationship.,E,I,0.62
I think you need to confront them regardless and hear out their side then decide if you can continue to be with her.,E,E,0.66
"I think the most important thing to do in this situation is take some time to think of why you did what you did and have an honest, open discussion with your girlfriend about the doubts you may have in your relationship.",E,I,0.64
First talk to your friends about respecting your relationship.,E,E,0.72
Then sit down and have a talk with your girlfriend about your feelings.,E,E,0.58
Going to spend 20 minutes of my 1hr prep period today phone banking for the first time because I know I should have already.,E,E,0.68
Have you dialed in the number and entered a pin?,E,E,0.57
Being able to talk about it with other bird parents is really comforting.,E,E,0.72
I find myself spending hours a week formulating comments and statuses and tweets to rebuttal all of the fear mongering hopeless bullshit I hear.,E,E,0.72
"As a high school choir teacher, this is really nice to hear!",E,E,0.65
"I would try to use your words, play to things inside your partner that only someone who loves them can know and appreciate.",E,I,0.62
"Spend time building intimacy, but really communicating the feelings you have on the inside that the is having trouble detecting.",E,I,0.63
"If they are really depressed, and these methods don't seem to be working, Professional help is a great way of a) Letting them know you care about them and want them to be better but b) helping to address the issue from outside the relationship.",E,E,0.65
Everyone is so nice and welcoming - I went with friends last year and when music tastes vary you can so easily mesh in with others who enjoy what you enjoy - everyone is there to both have and share a good time.,E,E,0.82
So glad i was able to tell from your words.,E,E,0.65
What sometimes helps is when my best friend keeps asking me questions until we are able to work out the issue together.,E,E,0.68
"It won't be easy and you might find yourself easily distracted, but you are a good, strong person who is worthy of love and affection and who will recover from this thing.",E,I,0.62
I think challenges like communication can be overcome if both parties reach a point where they fully understand how the other expresses love and respect.,E,E,0.62
You need to start caring about the other people in your life more than your personal wants.,E,E,0.63
"It always takes me a little while to reach a point in my relationships where we have a lot of mutual trust, but it is always worth the effort.",E,I,0.65
"If you don't mind, can you describe how social anxiety impacts your life?",E,I,0.63
Stories such as yours makes me happy because it proves that not all felons continue a life of crime as many people like to think.,E,E,0.63
I'm going through some shit realizing that I have to cut off the very person who raised me after trying multiple times to salvage our relationship.,E,I,0.68
I can only imagine how the mother must have felt at that point.,E,I,0.68
"You really should retake this video a lot better, because it's really interesting.",E,E,0.65
you cannot outperform your level of self-esteem .,E,I,0.62
you will only produce what you truly believe you are capable of .,E,I,0.62
how you react to success says more than success itself .,E,I,0.56
jealousy is the surest way to get rid of the very person you are afraid of losing .,E,I,0.62
it's weird when someone see's beauty in you that you don't see in yourself .,E,I,0.62
"instead of just complaining , do something about it .",E,E,0.62
"that hi life woah , do you train your pokemon on the go ?",E,E,0.68
my coworker listens to that podcast too !,E,E,0.58
ahh how are you going to wake up for work ?,E,E,0.62
>:P aw i'll be in socal next week !,E,E,0.68
tom watson killed it in talent !,E,E,0.62
no better way to spend a tuesday night than supporting a sorority philanthropy miss you more !,E,E,0.73
and my dear big . scotty killed it !,E,E,0.62
"you should communicate more , bros have drink to all the happy hours !",E,E,0.75
"windows down , sun shining time to be productive !",E,E,0.65
"alright happy birthday fucker i need to sample it and spit you have another jager bomb on this bar for you asshole but you're huge so its fine you have cats that remix of "" so high "" though stop its so cuteeee if i could stop hiccuping that'd be a + its zac , zacs the gay one * throws mmw in new brunswick * still drunk .",E,E,0.73
brita how am i going to class right now actually actual same i think i'm gonna die fr fr its sooooOoOoOooOoOo good i hate toms it was an act of terrorism how so .,E,E,0.65
he literally crashed the plane on purpose .,E,E,0.57
"answer the question mature not really something to make light of charles whatever how is "" no terror suspected "" when the pilots "" deliberately crashed the plane "" how can both of those phrases be in the same article ? ?",E,I,0.68
is this song like the pothead version of plurhttps :/ .,E,E,0.6
"i did it , therefore you can do it .",E,E,0.66
may i be gracious with people as god is with me .,E,E,0.64
do you want me to bring anything ?,E,E,0.62
you guys should come here to visit .,E,E,0.72
i have class on the night you're coming at gordon college .,E,E,0.63
"i'm known for my charming sensibility and my suaveness with the babes aka you stop talking to my friend before i chop off your manhood i do what , green bean ohhhh , yeh mane .",E,E,0.65
it's making me sad that everyone else on summer staff is at camp already and i'm not .,E,E,0.58
"i'm gonna miss you guys this summer :'( goodnight , twitter .",E,E,0.68
there is a small kitten that keeps appearing in our garage .,E,E,0.62
"run fast for ya motha and fast for ya fatha lol love you green bean tie it to a tree tell it you belong to me locked away in permanent slumber stay trill , and stay chill in zis weather wouldnt want to see you burnt aladdin , love ya , shoot for the stars you da real mvp smh you a fool ' s man be like because a kitchen sink to you is not a kitchen sink to me i like both of those !",E,E,0.72
a day to celebrate how much i love my girl !,E,I,0.62
thank you for all you did last summer you opened my eyes to how beautiful you are .,E,E,0.6
you have changed me for the better .,E,E,0.62
as citizens of this great nation we will stop at nothing until he faces his demise ! !,E,E,0.65
"don't cry cause it's over , smile cause it happened .",E,I,0.6
"Trust in the LORD with all your heart and lean not on your own understanding I'm not Jewish, but I like these videos.",E,I,0.65
I've changed the way I look at my life.,E,I,0.62
I wish I could understand them.,E,I,0.62
My whole life feels like deja vu.,E,I,0.65
"Salt my wounds, chlorine my eyes, I'm a self-destructive fool, a self-destructive fool.",E,I,0.64
"Trust me, everyone needs to vent to someone sometimes.",E,E,0.65
"Not necessarily the person your mad at, just tell someone how you feel.",E,E,0.7
"If you could have any super power, what would it be?",E,E,0.63
Be as creative as you like.,E,I,0.62
Feel free to tell everyone why if you want to!,E,E,0.65
"I think that obsession concerns a negative state of mind, while passion is considered a good feeling or interest.",E,I,0.64
"I'm a student of psychology at university, in specific I'm interested in neuropsychology.",E,I,0.55
It depends also on the people who you hang out with!,E,E,0.63
I've listened to this song for sooo long!!,E,I,0.6
"I'm always waiting for holidays, then when holidays come I hate them, and when they are over I use to say I need a holiday !",E,I,0.66
"We are s, we are ORIGINAL, the most CREATIVE of all types.",E,E,0.7
"Can't we come up with a more artistic, original, creative name that represents us?...",E,E,0.68
We can open a thread for suggestions.,E,E,0.65
Whats your favorite season and why?,E,E,0.6
"Yes, I would love to be a healer, to heal someone's heart, to help someone...",E,E,0.62
"If you are true to yourself, but yourself happens to be a shitty person, you're still authentic.",E,I,0.62
Unless you are striving for an ideal in your head that you think you should be like?,E,I,0.65
I'm more interested in hearing what people think I do behind closed doors.,E,E,0.65
What if they aren't in touch with their feelings?,E,I,0.63
I actually have to have someone make me a meal plan because I have no idea if I'm hungry or not.,E,I,0.58
"Honestly, the only thing that makes me feel better these days are talking to people.",E,E,0.73
"I'm not sure if you're outgoing, but try and get out there and meet some new friends even on the internet.",E,E,0.72
"I write, sing and make music and also draw, but what I really want to do is film and screenwriting.",E,I,0.58
I'm really interested in politics and social justice and given the current state of the U.S I think everyone should lol.,E,E,0.72
"I've always had a notebook since I was a child really to write down ideas that come to me, and I find they're usually quite good!",E,I,0.68
I'll want to be your friend instantly.,E,E,0.72
I volunteered in many nonprofits in my spare time.,E,E,0.68
I have multiple callings and I change my mind all the time.,E,I,0.58
"As long as my basic needs are met, I can push myself to try something new.",E,I,0.55
"I am a jack of all trades, master of none, which may sound like a bad thing but I love all the variety.",E,E,0.63
I'm loving the tone of this thread.,E,E,0.66
"Most of my friends are girls and a few gay guys which I'm fine with, except for the fact that I don't really have anyone to talk to about the new girl that I fall in love with every week.",E,E,0.62
"I love women's and men's fashion and I always get the urge to compliment random people I see on their style, but I usually don't because I'm afraid to.",E,I,0.62
"My journals tend to be very stream-of-consciousness and sometimes just me venting but if that's what someone's into I'd love to share, and I'd also love to read other people's journals!",E,E,0.65
"I do highly value getting to know someone's deeper emotions, their motivations, their fears and insecurities.",E,E,0.62
You *are* doing the best you can!,E,E,0.6
Keep up the good work for as long as you want!,E,E,0.64
"Part of how you can ""be there"" for someone is listening to what they want and respecting it.",E,I,0.58
"I sincerely believe that she doesn't need my help with the breastfeeding part of it, but I want her to feel supported and understood.",E,I,0.62
"I would have loved fuzzy slippers, or comfy pants, but I'm also a huge Harry Potter nerd who would have loved some kitsch.",E,I,0.72
i retweeted first the vamps my brother is an idiot he actually thinks i would go on his account when he has ten followers the vamps the vamps toe purview cheju the vamps this reminds me too much of your interview the vamps boom clap the vamps is an idiot the vamps hahahah no the vamps i dunno i kind of ship it the vamps i think they've broken up the vamps haha i think i'm not upset cause in more of a connor and tristan girl my brothers on my account tweeting crap the vamps it's a sibling thing the vamps shut up go away wanna know a the vamps hater ?,E,E,0.72
i want to grow a beard when i'm older the vamps shut up mate .,E,I,0.62
"haha somebody to you reference ^ ^ the vamps exactly the vamps vote for the vamps the vamps finally the vamps love you xxx the vamps damn i love this fandom see we're trending and yay the vamps yay new icon the vamps yay new header hahah the vamps i need to out this in charge bye oh and i live you xxx the vamps dear diary , i want to make a new entry the vamps she got legs like Beyonce the vamps give me the eye like rihhhhana the vamps oh cecelia i'm down on my knees i'm begging you please to come home the vamps why are you following me the vamps cecelia your breaking my heart the vamps i'm begging ya please to come home the vamps don't you know that you are golden , golden ?",E,E,0.68
"the vamps so won't you smile for me the vamps hiiiigh hopes , me and you .",E,E,0.62
"the vamps another universe , the stars will light the way for just us .",E,I,0.65
the end of ep 15 of school 2013 ? ? ho ly shit ? ? this sure is a thing that song is so ridiculous but i love it it does that yea its 76 out what to heck its so hot im gonna punch myself in the face this is so cute sometimes i forget .,E,E,0.72
that the soda i drink has caffeine in it they're having a pillow fight im deleting this show lrt eyes emoji my hair's getting too long om g i used to post shitty selfies all the time om well i will try 2 post more im p sure the only other selfie ive posted on this acct is the one where i was bundled up in a blanket watching suju ofd that me tfw u don't expect ur selfie to get a lot of faves but it does presses our cheeks together waves hands idk my hair used to be like ? ear length and now it's too long and i want it gone holds zoe's hands i'm so glad she likes yixing everyone should like yixing he's a beautiful ray of sunshine aaaah i just asked myself which vixx song goes ' what u waiting for ' but it turns out it's their song .,E,E,0.72
what u waiting for winks & amp ; finger guns how can school 2013 be introducing more conflict there's only like 20 mins left calm down where's kate i just finished school 2013 and im screaming tbt when i got into akmu literally only bc i saw a pic of chanhyuk with pink glasses i fucking loved gay dodgeball it changed my life wraps my noodle arms around u im so sad kate where's jungho is he doing alright hello shab wraps my limbs around all of them omvg holds ur hands i will anticipate what did i miss i was watching sortwim om what this makes me nervous that mv was a fucking .,E,E,0.72
anybody remember p waves and s waves and stuff ?,E,E,0.62
the only way to escape is levitate lol .,E,E,0.62
u still goin to ny this weekend ?,E,E,0.6
"if we all worked only 4 days a week 5 hours a day , then everyone is employed .",E,E,0.62
and how are we gonna defend them if we dont have a kickass space program ?,E,E,0.72
is is too early to order a pizza ?,E,I,0.62
did i really just get a package from a guy named ding dong ?,E,I,0.58
he's cute until he wakes you up by chewing your fingers off iggy !,E,E,0.62
i had a dream about spring last night ....,E,I,0.65
it's supposed to be 36 degrees today ....,E,I,0.6
i have to love lots of things at once to keep busy .,E,E,0.58
working on about 5 embroideries at a time .,E,I,0.62
i say things bc i feel it and i wanted to .,E,E,0.63
i hope everyone feels some sort of happiness tn and sleeps soundly bc i want that .,E,E,0.63
"i get so uncomfortable in certain situations , i don't have the heart to meddle .",E,I,0.71
"let me be your swear word , girl .",E,E,0.74
new found glory's new album is kicking all sorts of ass over my sound system .,E,E,0.72
all of these are making me so happy right now .,E,E,0.63
"~ at first i thought i was coming to terms with love being nonexistent , but it's clear to me that it exists .",E,I,0.63
i'm going to write a song about giraffes .,E,I,0.62
"noooo i hope she does , i still need a death scene to write .",E,I,0.62
come back into my life missy sauga im good !,E,E,0.65
i am a loaft i think i just ate 40 strawberries yeah !,E,E,0.6
"53 chapters of life of pi , i will finish you .",E,E,0.62
i thought we were both our only friends tho .,E,I,0.62
If you are an American you should put your country first.,E,E,0.65
"The is not inclined towards math more than any other subject, it just applies the rationality of mathematics towards everything it does.",E,I,0.65
Please answer my question here: dream is to be like a CEO or a world leader and have a hot 19 year old personal assistant who does all my research for me and writes my speeches and does my mental math.,E,E,0.72
"First thing I noticed is that the salary graph is not scaled to 0, while you feelers dumbos are eating this misleading shit up.",E,E,0.62
"You are putting too much importance on personality type, not everything can be explained by the MBTI.",E,I,0.58
Well then how about you bother research what Jung said about the functions instead of those other sources?,E,E,0.65
I tend to question the authority of sources that are more obscure.,E,I,0.63
Well it does bother me having to stay politically correct or doing things in an acceptable way.,E,I,0.68
"If there's one function I'll NEVER understand, that's Fi.",E,I,0.65
I tend to ignore how I feel physically.,E,I,0.62
"As an autodidact, I can say without certainty that education =/= intelligence.",E,I,0.62
I felt that this fit me as I am fairly cerebral.,E,I,0.72
With more healing and therapy my true self is much more 8-like.,E,I,0.6
People who do not assume responsibility for themselves.,E,I,0.57
When I'm working out ideas in my head I'll use my whiteboard and gesture to myself while thinking.,E,E,0.7
"Dear friend, Please, pay attention to what's going on.",E,E,0.65
Dreaming about doing things isn't the same as doing them.,E,I,0.65
The execution of knowledge is where your power lies.,E,I,0.62
"I find that improvement is best made through trying something completely new, stretching your limits, and facing your fears.",E,E,0.72
But because everyone is given relatively equal education opportunities-there is no excuse to be poor.,E,E,0.62
Koichi announces his candidacy and victory of the US Presidential Election.,E,E,0.78
It will be interesting to see how people of the different types respond to this question.,E,E,0.62
Once we have some data we should look at how they tend to answer.,E,E,0.62
I take pride in the fact that I (supposedly) share charcteristics with Bill Gates ANd Napoleon.,E,E,0.64
Right now I am trying to get to 15 posts on this forum.,E,E,0.68
I like people who aren't easily labeled and categorized.,E,I,0.6
I have certain qualities that I am attracted to with personal depth being very important to me.,E,I,0.62
"That, I have a great amount of respect for.",E,I,0.62
People that feed trolls are generally far more annoying than the person trolling.,E,E,0.62
"I really couldn't care less how I'm remembered, as it would hold no value to me at that point.",E,I,0.62
I enjoy RPGs and got so used to being able to save the game and loading to a previous progress point if the game doesn't turn out the way I want it.,E,I,0.62
What is the duration of this program?,E,I,0.6
"But not having the grades would also mean that one's trajectory to achieve one's goal would be impeded, at least at the early stages of one's career.",E,I,0.62
"And were their parents well-off, which indicates that they didn't need to rely on those grades anyways?",E,I,0.56
Spoke to a friend regarding this today and he said he regretted being lazy and not studying harder to get better results in school exams as it's currently affecting his career prospects.,E,E,0.63
- Give them all the work you don't want to do and make them do it.,E,E,0.65
"I really don't care about what is right or wrong, I only care about what works and what doesn't.",E,I,0.62
